Date,SVL124
2009-01-12,21.0
2009-01-13,
2009-01-14,0.0
2009-01-15,1.0
2009-01-16,0.0
2009-01-17,
2009-01-18,0.0
2009-01-19,0.0
2009-01-20,0.0
2009-01-21,0.0
2009-01-22,0.0
2009-01-23,0.0
2009-01-24,0.0
2009-01-25,0.0
2009-01-26,0.0
2009-01-27,0.0
2009-01-28,
2009-01-29,0.0
2009-01-30,
2009-01-31,0.0
2009-02-01,0.0
2009-02-02,0.0
2009-02-03,0.0
2009-02-04,
2009-02-05,
2009-02-06,
2009-02-07,0.0
2009-02-08,0.0
2009-02-09,0.0
2009-02-10,
2009-02-11,150.0
2009-02-12,
2009-02-13,
2009-02-14,
2009-02-15,0.0
2009-02-16,0.0
2009-02-17,
2009-02-18,
2009-02-19,0.0
2009-02-20,
2009-02-21,
2009-02-22,0.0
2009-02-23,
2009-02-24,
2009-02-25,
2009-02-26,
2009-02-27,0.0
2009-02-28,0.0
2009-03-01,
2009-03-02,
2009-03-03,0.0
2009-03-04,0.0
2009-03-05,0.0
2009-03-06,
2009-03-07,
2009-03-08,0.0
2009-03-09,
2009-03-10,
2009-03-11,
2009-03-12,0.0
2009-03-13,0.0
2009-03-14,
2009-03-15,
2009-03-16,0.0
2009-03-17,
2009-03-18,0.0
2009-03-19,
2009-03-20,0.0
2009-03-21,
2009-03-22,0.0
2009-03-23,
2009-03-24,
2009-03-25,
2009-03-26,0.0
2009-03-27,
2009-03-28,0.0
2009-03-29,
2009-03-30,
2009-03-31,0.0
2009-04-01,
2009-04-02,
2009-04-03,
2009-04-04,
2009-04-05,0.0
2009-04-06,
2009-04-07,
2009-04-08,
2009-04-09,
2009-04-10,
2009-04-11,0.0
2009-04-12,300.0
2009-04-13,0.0
2009-04-14,
2009-04-15,
2009-04-16,
2009-04-17,
2009-04-18,32.51
2009-04-19,0.0
2009-04-20,0.0
2009-04-21,0.0
2009-04-22,
2009-04-23,
2009-04-24,
2009-04-25,
2009-04-26,0.0
2009-04-27,
2009-04-28,
2009-04-29,0.0
2009-04-30,
2009-05-01,
2009-05-02,49.94
2009-05-03,0.0
2009-05-04,50.0
2009-05-05,0.0
2009-05-06,
2009-05-07,
2009-05-08,
2009-05-09,
2009-05-10,
2009-05-11,0.0
2009-05-12,
2009-05-13,1.01
2009-05-14,0.0
2009-05-15,100.0
2009-05-16,
2009-05-17,
2009-05-18,
2009-05-19,
2009-05-20,
2009-05-21,
2009-05-22,
2009-05-23,
2009-05-24,
2009-05-25,
2009-05-26,
2009-05-27,
2009-05-28,
2009-05-29,0.0
2009-05-30,
2009-05-31,
2009-06-01,0.0
2009-06-02,
2009-06-03,
2009-06-04,
2009-06-05,
2009-06-06,
2009-06-07,
2009-06-08,
2009-06-09,
2009-06-10,
2009-06-11,
2009-06-12,
2009-06-13,
2009-06-14,
2009-06-15,
2009-06-16,
2009-06-17,
2009-06-18,
2009-06-19,
2009-06-20,
2009-06-21,
2009-06-22,0.0
2009-06-23,
2009-06-24,0.0
2009-06-25,0.0
2009-06-26,
2009-06-27,
2009-06-28,0.0
2009-06-29,0.0
2009-06-30,20.0
2009-07-01,0.0
2009-07-02,0.0
2009-07-03,
2009-07-04,
2009-07-05,
2009-07-06,
2009-07-07,
2009-07-08,
2009-07-09,
2009-07-10,
2009-07-11,
2009-07-12,
2009-07-13,
2009-07-14,
2009-07-15,
2009-07-16,
2009-07-17,
2009-07-18,
2009-07-19,
2009-07-20,0.0
2009-07-21,
2009-07-22,
2009-07-23,
2009-07-24,
2009-07-25,
2009-07-26,
2009-07-27,
2009-07-28,
2009-07-29,0.0
2009-07-30,0.0
2009-07-31,
2009-08-01,
2009-08-02,
2009-08-03,
2009-08-04,
2009-08-05,
2009-08-06,
2009-08-07,0.0
2009-08-08,
2009-08-09,
2009-08-10,
2009-08-11,
2009-08-12,
2009-08-13,
2009-08-14,
2009-08-15,
2009-08-16,
2009-08-17,
2009-08-18,
2009-08-19,
2009-08-20,
2009-08-21,
2009-08-22,
2009-08-23,
2009-08-24,
2009-08-25,
2009-08-26,0.0
2009-08-27,
2009-08-28,
2009-08-29,
2009-08-30,0.0
2009-08-31,0.0
2009-09-01,
2009-09-02,
2009-09-03,0.0
2009-09-04,
2009-09-05,
2009-09-06,
2009-09-07,0.0
